               ╭------------------------------------╮
          Name | Smoke Eater                        |
        Career | Firefighter                        |
Initial Energy | 3                                  |
         Speed | 3                                  |
     Equipment | 1                                  |
      Action 1 | Smother                            |
               | 🔥💪                                 |
        A1Cost | 2                                  |
      Action 2 | Douse                              |
               | ➜🔥                                 |
        A2Cost | 2                                  |
      Action 3 | Treat                              |
               | ➕                                  |
        A3Cost | 2                                  |
      Action 4 | Unearth                            |
               | 💪 💪🔍                               |
        A4Cost | 3                                  |
      Action 5 | Assess                             |
               | ➜👁🔍                                |
        A5Cost | 3                                  |
      Action 6 | Request Specialist                 |
               | ✋                                  |
        A6Cost | 4                                  |
       Special | FIRE TRAINING                      |
               | Does not panic due to Fire situati |
               | ons.                               |
               |                                    |
               | SEASONED                           |
               | Does not panic due to Rubble.      |
               ╰------------------------------------╯
               ╭------------------------------------╮
          Name | Pipeman                            |
        Career | Firefighter                        |
Initial Energy | 6                                  |
         Speed | 2                                  |
     Equipment | 2                                  |
      Action 1 | Extinguish                         |
               | 🔥                                  |
        A1Cost | 2                                  |
      Action 2 | Run the Line                       |
               | ➜🔥🔥                                |
        A2Cost | 3                                  |
      Action 3 | Treat                              |
               | ➕                                  |
        A3Cost | 3                                  |
      Action 4 | Recuperate                         |
               | ⚡⚡⚡                                |
        A4Cost | 1                                  |
      Action 5 | Dig                                |
               | 💪 💪                                |
        A5Cost | 3                                  |
      Action 6 | Request Specialist                 |
               | ✋                                  |
        A6Cost | 5                                  |
       Special | FIRE TRAINING                      |
               | Does not panic due to Fire situati |
               | ons.                               |
               |                                    |
               | ON THE LINE                        |
               | Extinguish 🔥 can be applied to adj |
               | acent situations                   |
               ╰------------------------------------╯
               ╭------------------------------------╮
          Name | Chief                              |
        Career | Leader                             |
Initial Energy | 5                                  |
         Speed | 2                                  |
     Equipment | 1                                  |
      Action 1 | Assess                             |
               | ➜👁🔍                                |
        A1Cost | 2                                  |
      Action 2 | Douse                              |
               | ➜🔥                                 |
        A2Cost | 3                                  |
      Action 3 | Quick Remedy                       |
               | ➜ ➕                                |
        A3Cost | 3                                  |
      Action 4 | Inspire                            |
               | (see below)                        |
        A4Cost | 4                                  |
      Action 5 | Shoot                              |
               | 🔫                                  |
        A5Cost | 3                                  |
      Action 6 | Request Specialist                 |
               | ✋                                  |
        A6Cost | 3                                  |
       Special | LEADER                             |
               | Colleagues lose 1 Panic when they  |
               | begin a round outside with the Chi |
               | ef                                 |
