            ╭------------------------------------╮
       Name | Injury                             |
      Level | 1                                  |
     Type 1 | Victim                             |
     Type 2 |                                    |
   Analysis | 1                                  |
      Cthru | Yes                                |
      Need1 | Treat                              |
   Need1Amt | 2                                  |
      Need2 |                                    |
   Need2Amt |                                    |
      Need3 |                                    |
   Need3Amt |                                    |
      Need4 |                                    |
   Need4Amt |                                    |
      Need5 |                                    |
   Need5Amt |                                    |
    Special | URGENT: Unless Handled, add 1 Trea |
            | t each Round                       |
      Story | "I got a POI over here"            |
Total Needs | 2                                  |
   subtitle | Level 1 Victim                     |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Name | Panicked Victim                    |
      Level | 1                                  |
     Type 1 | Victim                             |
     Type 2 | Trap                               |
   Analysis |                                    |
      Cthru | Yes                                |
      Need1 | Treat                              |
   Need1Amt | 2                                  |
      Need2 |                                    |
   Need2Amt |                                    |
      Need3 |                                    |
   Need3Amt |                                    |
      Need4 |                                    |
   Need4Amt |                                    |
      Need5 |                                    |
   Need5Amt |                                    |
    Special | Cannot exit the situation until ha |
            | ndled                              |
      Story | "They just won't let go of me"     |
Total Needs | 2                                  |
   subtitle | Level 1 Victim Trap                |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Name | Partially Buried Victim            |
      Level | 1                                  |
     Type 1 | Victim                             |
     Type 2 | Rubble                             |
   Analysis | 1                                  |
      Cthru | No                                 |
      Need1 | Treat                              |
   Need1Amt | 1                                  |
      Need2 | Clear                              |
   Need2Amt | 1                                  |
      Need3 |                                    |
   Need3Amt |                                    |
      Need4 |                                    |
   Need4Amt |                                    |
      Need5 |                                    |
   Need5Amt |                                    |
    Special |                                    |
      Story |                                    |
Total Needs | 2                                  |
   subtitle | Level 1 Victim Rubble              |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Name | Grievous Injury                    |
      Level | 1                                  |
     Type 1 | Victim                             |
     Type 2 | Hazard                             |
   Analysis |                                    |
      Cthru | No                                 |
      Need1 | Treat                              |
   Need1Amt | 4                                  |
      Need2 |                                    |
   Need2Amt |                                    |
      Need3 |                                    |
   Need3Amt |                                    |
      Need4 |                                    |
   Need4Amt |                                    |
      Need5 |                                    |
   Need5Amt |                                    |
    Special | Player who reveals this card gains |
            |  1 Panic level. Add                |
      Story | "I was not expecting to see that." |
            |                                    |
Total Needs | 4                                  |
   subtitle | Level 1 Victim Hazard              |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Name | Blocked Door                       |
      Level | 1                                  |
     Type 1 | Rubble                             |
     Type 2 |                                    |
   Analysis | 0                                  |
      Cthru | No                                 |
      Need1 | Clear                              |
